BlobDetection: x = 100488, y = 70368,  count = 418, left = 228, right = 267, up = 146, down = 183
BlobDetection: x = 10499, y = 8660,  count = 65, left = 158, right = 164, up = 127, down = 139
BlobDetection: x = 11191, y = 10861,  count = 79, left = 136, right = 150, up = 129, down = 144
BlobDetection: x = 12579, y = 16932,  count = 99, left = 115, right = 135, up = 166, down = 175
BlobDetection: x = 128123, y = 65161,  count = 510, left = 243, right = 258, up = 104, down = 152
BlobDetection: x = 135288, y = 57671,  count = 216, left = 616, right = 636, up = 255, down = 287
BlobDetection: x = 15891, y = 5196,  count = 42, left = 373, right = 383, up = 121, down = 127
BlobDetection: x = 16454, y = 6244,  count = 31, left = 527, right = 535, up = 198, down = 204
BlobDetection: x = 167307, y = 31907,  count = 429, left = 379, right = 400, up = 55, down = 91
BlobDetection: x = 18148, y = 8758,  count = 31, left = 579, right = 591, up = 279, down = 285
BlobDetection: x = 20233, y = 5556,  count = 98, left = 202, right = 209, up = 47, down = 68
BlobDetection: x = 208332, y = 81777,  count = 992, left = 192, right = 225, up = 48, down = 119
BlobDetection: x = 23562, y = 7251,  count = 129, left = 176, right = 189, up = 47, down = 64
BlobDetection: x = 23736, y = 18460,  count = 99, left = 227, right = 253, up = 183, down = 190
BlobDetection: x = 27642, y = 18785,  count = 106, left = 250, right = 268, up = 171, down = 182
BlobDetection: x = 28357, y = 15179,  count = 48, left = 584, right = 596, up = 312, down = 321
BlobDetection: x = 293327, y = 180844,  count = 1659, left = 159, right = 196, up = 65, down = 163
BlobDetection: x = 29376, y = 31810,  count = 180, left = 159, right = 167, up = 163, down = 191
BlobDetection: x = 30939, y = 5957,  count = 48, left = 640, right = 648, up = 113, down = 131
BlobDetection: x = 31355, y = 13289,  count = 52, left = 598, right = 609, up = 252, down = 260
BlobDetection: x = 3318, y = 1889,  count = 32, left = 100, right = 106, up = 55, down = 66
BlobDetection: x = 3504, y = 2461,  count = 39, left = 86, right = 92, up = 57, down = 70
BlobDetection: x = 36884, y = 19118,  count = 258, left = 136, right = 148, up = 52, down = 90
BlobDetection: x = 45215, y = 5716,  count = 119, left = 372, right = 390, up = 43, down = 54
BlobDetection: x = 49389, y = 20085,  count = 80, left = 609, right = 627, up = 248, down = 254
BlobDetection: x = 54134, y = 29481,  count = 230, left = 229, right = 242, up = 107, down = 147
BlobDetection: x = 585840, y = 184173,  count = 2261, left = 234, right = 285, up = 39, down = 162
BlobDetection: x = 6712, y = 678,  count = 53, left = 122, right = 130, up = 8, down = 20
BlobDetection: x = 69698, y = 31137,  count = 118, left = 581, right = 599, up = 256, down = 270
BlobDetection: x = 74699, y = 29493,  count = 117, left = 627, right = 649, up = 249, down = 256
BlobDetection: x = 76486, y = 22621,  count = 207, left = 359, right = 381, up = 103, down = 118
BlobDetection: x = 91438, y = 105883,  count = 723, left = 108, right = 146, up = 126, down = 169
BlobDetection: x = 92938, y = 39422,  count = 144, left = 635, right = 656, up = 267, down = 279
BlobDetection: x = 95486, y = 79540,  count = 794, left = 106, right = 135, up = 68, down = 119
