Reading frame
Pixel[0] has values (201, 68, 161)
Checking all values in frame are initialized
Data array is size 2
Pixel[0, 0] has vals L = 201, A = 68, B = 161
Pixel[0, 1] has vals L = 0, A = 0, B = 0
Pixel[0, 2] has vals L = 0, A = 0, B = 0
Pixel[0, 3] has vals L = 0, A = 0, B = 0
Pixel[0, 4] has vals L = 0, A = 0, B = 0
Pixel[0, 5] has vals L = 0, A = 0, B = 0
Pixel[0, 6] has vals L = 0, A = 0, B = 0
Pixel[0, 7] has vals L = 0, A = 0, B = 0
Pixel[0, 8] has vals L = 145, A = 81, B = 1
Pixel[0, 9] has vals L = 0, A = 0, B = 0
Pixel[0, 10] has vals L = 0, A = 0, B = 112
Pixel[0, 11] has vals L = 112, A = 248, B = 1
Pixel[0, 12] has vals L = 0, A = 0, B = 0
Pixel[0, 13] has vals L = 0, A = 64, B = 8
Pixel[0, 14] has vals L = 0, A = 0, B = 0
Pixel[0, 15] has vals L = 0, A = 0, B = 0
Pixel[0, 16] has vals L = 0, A = 0, B = 0
Pixel[0, 17] has vals L = 0, A = 0, B = 0
Pixel[0, 18] has vals L = 0, A = 0, B = 0
Pixel[0, 19] has vals L = 0, A = 0, B = 0
Pixel[0, 20] has vals L = 0, A = 0, B = 0
Pixel[0, 21] has vals L = 0, A = 187, B = 105
Pixel[0, 22] has vals L = 122, A = 191, B = 105
Pixel[0, 23] has vals L = 122, A = 189, B = 107
Pixel[0, 24] has vals L = 122, A = 193, B = 108
Pixel[0, 25] has vals L = 122, A = 199, B = 111
Pixel[0, 26] has vals L = 123, A = 176, B = 113
Pixel[0, 27] has vals L = 123, A = 136, B = 116
Pixel[0, 28] has vals L = 123, A = 113, B = 118
Pixel[0, 29] has vals L = 123, A = 82, B = 120
Pixel[0, 30] has vals L = 124, A = 82, B = 122
Pixel[0, 31] has vals L = 124, A = 82, B = 123
Pixel[0, 32] has vals L = 124, A = 82, B = 124
Pixel[0, 33] has vals L = 124, A = 82, B = 125
Pixel[0, 34] has vals L = 125, A = 82, B = 125
Pixel[0, 35] has vals L = 125, A = 82, B = 125
Pixel[0, 36] has vals L = 125, A = 82, B = 126
Pixel[0, 37] has vals L = 126, A = 82, B = 128
Pixel[0, 38] has vals L = 127, A = 82, B = 129
Pixel[0, 39] has vals L = 128, A = 82, B = 129
Pixel[0, 40] has vals L = 128, A = 82, B = 129
Pixel[0, 41] has vals L = 128, A = 82, B = 129
Pixel[0, 42] has vals L = 128, A = 82, B = 129
Pixel[0, 43] has vals L = 128, A = 82, B = 129
Pixel[0, 44] has vals L = 128, A = 82, B = 129
Pixel[0, 45] has vals L = 128, A = 79, B = 129
Pixel[0, 46] has vals L = 128, A = 79, B = 129
Pixel[0, 47] has vals L = 128, A = 79, B = 129
Pixel[0, 48] has vals L = 128, A = 79, B = 129
Pixel[0, 49] has vals L = 128, A = 79, B = 129
Pixel[0, 50] has vals L = 128, A = 79, B = 129
Pixel[0, 51] has vals L = 128, A = 79, B = 129
Pixel[0, 52] has vals L = 128, A = 79, B = 128
Pixel[0, 53] has vals L = 128, A = 82, B = 128
Pixel[0, 54] has vals L = 128, A = 82, B = 126
